Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_Ch_tot_sdbf,Close_Ch_tot_sdbf,Streak,Bestmove
2021,3,1,0,2054.77,2029.74,2054.67,1.199647649129%,1.434666509011%,2.178938710353%,24.65,29.12,44.77,2,Behall
2021,2,26,4,2030.12,2000.62,2009.9,-1.153626386618%,-1.766452399756%,-1.444350465197%,-23.42,-35.34,-29.03,1,Kop
2021,2,25,3,2053.54,2035.96,2038.93,0.689054023783%,1.182734434861%,0.082396158770%,14.15,24.08,1.68,-1,Salj
2021,2,24,2,2039.39,2011.88,2037.25,0.124056703230%,0.924508419985%,1.002331574426%,2.53,18.6,20.42,2,Behall
2021,2,23,1,2036.86,1993.28,2016.83,0.128629360879%,-1.179462995665%,-0.704571034743%,2.62,-23.51,-14.21,1,Kop
2021,2,22,0,2034.24,2016.79,2031.04,-0.134202453988%,-0.037683645794%,-0.291968646605%,-2.73,-0.76,-5.93,-2,Behall
2021,2,19,4,2036.97,2017.55,2036.97,0.583219193213%,0.499120220069%,1.038797822256%,11.88,10.07,21.16,-1,Salj
2021,2,18,3,2025.09,2007.48,2015.81,-0.497755655304%,-0.223663498516%,-0.071931382422%,-10.08,-4.49,-1.45,1,Kop
2021,2,17,2,2035.17,2011.97,2017.26,-0.432396310873%,-1.083018136453%,-1.031597315170%,-8.8,-21.79,-20.81,-3,Behall
2021,2,16,1,2043.97,2033.76,2038.07,0.111058381483%,0.230115647864%,-0.059369894066%,2.27,4.68,-1.21,-2,Behall
2021,2,15,0,2041.7,2029.08,2039.28,0.775334280257%,1.214343446291%,0.713977482249%,15.83,24.64,14.56,-1,Salj
2021,2,12,4,2025.87,2004.44,2024.72,0.779911840345%,0.373670451597%,0.723556837489%,15.8,7.49,14.65,3,Behall
2021,2,11,3,2010.07,1996.95,2010.07,0.006467436457%,0.561356068004%,0.597491629645%,0.13,11.21,12.01,2,Behall
2021,2,10,2,2009.94,1985.74,1998.06,0.232842771426%,-0.323808756433%,-0.056554858212%,4.68,-6.43,-1.13,1,Kop
2021,2,9,1,2005.26,1992.17,1999.19,-0.070813759812%,-0.206809659818%,-0.166567459821%,-1.42,-4.12,-3.33,-2,Behall
2021,2,8,0,2006.68,1996.29,2002.52,-0.076743676122%,0.517960817316%,0.658170704912%,-1.54,10.34,13.18,-1,Salj
2021,2,5,4,2008.22,1985.95,1989.34,0.041330133153%,-0.501019663134%,-0.854052097681%,0.83,-9.95,-16.99,1,Kop
2021,2,4,3,2007.39,1995.9,2006.33,0.081698125427%,0.362242597325%,0.432630723759%,1.64,7.23,8.68,-1,Salj
2021,2,3,2,2005.75,1988.67,1997.65,0.592297145706%,0.456083714241%,0.458538783070%,11.88,9.07,9.16,4,Behall
2021,2,2,1,1993.87,1979.6,1988.49,0.788416496562%,1.277025661750%,0.537090958466%,15.72,25.28,10.68,3,Behall
2021,2,1,0,1978.15,1954.32,1977.81,-0.025276141850%,0.313152400835%,1.467279465672%,-0.5,6.12,29.02,2,Behall
2021,1,29,4,1978.65,1948.2,1948.79,-0.021226593890%,0.806898675701%,-1.160207102869%,-0.42,15.72,-22.61,1,Kop
2021,1,28,3,1979.07,1932.48,1971.4,-0.892338320524%,-1.354218413645%,-0.243481789591%,-17.66,-26.17,-4.8,-3,Behall
2021,1,27,2,1996.73,1958.65,1976.2,-0.084137564919%,-0.824547519975%,-0.782309482846%,-1.68,-16.15,-15.46,-2,Behall
2021,1,26,1,1998.41,1974.8,1991.66,-0.086068424397%,0.201539396395%,0.833475593224%,-1.72,3.98,16.6,-1,Salj
2021,1,25,0,2000.13,1970.82,1975.06,0.654957427767%,-0.185709501629%,-0.566058752645%,13.1,-3.66,-11.18,1,Kop
2021,1,22,4,1987.03,1974.48,1986.24,-0.473571108640%,-0.294254689842%,-0.051353310778%,-9.41,-5.81,-1.02,-2,Behall
2021,1,21,3,1996.44,1980.29,1987.26,0.535453106530%,0.668083967500%,0.447349617061%,10.69,13.23,8.89,-1,Salj
2021,1,20,2,1985.75,1967.06,1978.37,0.358554702254%,0.545484123514%,1.037217507342%,7.12,10.73,20.52,2,Behall
2021,1,19,1,1978.63,1956.33,1957.85,0.732324891465%,0.237689960283%,-0.233930076359%,14.49,4.65,-4.58,1,Kop
